"site","year","day","tasmin","tasmax","tasmean"
"SPW","2013","April_21",-1.46510025320433,14.3163501564729,6.42562495163429
"SPW","2013","April_22",3.42179728609427,14.4376458898706,8.92972158798241
"SPW","2013","April_23",8.03055426683837,19.8861132153359,13.9583337410871
"SPW","2013","April_24",6.15798571387823,19.7618514631262,12.9599185885022
"SPW","2013","April_25",9.81328872167061,21.7335856311229,15.7734371763968
"SPW","2013","April_26",5.82787642853565,11.962724309101,8.89530036881833
"SPW","2013","April_27",2.18570750270805,10.4452989926573,6.31550324768267
"SPW","2013","April_28",-1.59326319706337,12.0711300523355,5.23893342763608
"SPW","2013","April_29",5.80625605881451,14.1187907026839,9.9625233807492
"SPW","2013","April_30",1.83505565449746,13.4866345539284,7.66084510421293
"SPW","2013","May_01",0.330858486079226,15.3159017009886,7.82338009353389
"SPW","2013","May_02",1.83512053245647,16.499897695519,9.16750911398772
"SPW","2013","May_03",1.05273288437286,19.0290780342783,10.0409054593256
"SPW","2013","May_04",6.84776255162187,17.0549544995714,11.9513585255966
"SPW","2013","May_05",3.84278179967474,18.5135724069602,11.1781771033175
"SPW","2013","May_06",6.98734532711136,21.2832930613435,14.1353191942274
"SPW","2013","May_07",5.6893789790207,20.3986765437942,13.0440277614075
"SPW","2013","May_08",9.02848806380559,17.6910472348507,13.3597676493281
"SPW","2013","May_09",5.04083045727146,14.5662530601342,9.80354175870283
"SPW","2013","May_10",8.86835730592633,16.8152206639157,12.841788984921
"SPW","2013","May_11",5.48337740539676,13.7643195834525,9.6238484944246
"SPW","2013","May_12",4.70383706455393,14.5224981433707,9.6131676039623
"SPW","2013","May_13",9.44988711091771,14.1808450839016,11.8153660974097
"SPW","2013","May_14",4.7965566293185,11.4207779685252,8.10866729892186
"SPW","2013","May_15",5.57050588750144,12.9514341859815,9.26097003674145
"SPW","2013","May_16",1.60479886597661,15.541619394918,8.57320913044729
"SPW","2013","May_17",4.78832355587274,11.3668184543056,8.07757100508918
"SPW","2013","May_18",7.61936030024661,14.7310479019306,11.1752041010886
"SPW","2013","May_19",4.80858333164588,18.3917112019056,11.6001472667758
"SPW","2013","May_20",9.25941412071916,16.3470656874225,12.8032399040708
"SPW","2013","May_21",10.5959018936089,13.7608566873807,12.1783792904948
"SPW","2013","May_22",8.06902293784229,14.0725043734491,11.0707636556457
