site,year,peak_cater_fit,peak_cater_lwr,peak_cater_upr,height_cater_fit,height_cater_lwr,height_cater_upr,box,species,cltsize,fledged,dfe,outcome,avg_cltsize,cltsize_final,mismatch_cater,height_cater_log,mean_tasmin_April,mean_tasmin_May,mean_tasmin_June,mean_tasmax_April,mean_tasmax_May,mean_tasmax_June,tasmean_April,tasmean_May,tasmean_June,tasmean_AprMay,mean_tasmin_AprMay,mean_tasmax_AprMay
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,1A,GRETI,5,4,14,NE,7.625,5,1.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,3A,BLUTI,9,7,14,NE,9.391304348,9,5.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,9A,BLUTI,9,9,17,NE,9.391304348,9,8.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,1B,BLUTI,9,7,19,NE,9.391304348,9,10.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,5B,BLUTI,11,10,15,NE,9.391304348,11,8.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,9B,BLUTI,7,1,22,NE,9.391304348,7,11.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,17B,BLUTI,7,5,26,NE,9.391304348,7,15.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,22B,BLUTI,13,4,10,NE,9.391304348,13,5.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,25B,BLUTI,11,10,13,NE,9.391304348,11,6.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,29B,GRETI,8,3,26,NE,7.625,8,16.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,30B,BLUTI,11,0,18,ED,9.391304348,11,11.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,31B,BLUTI,10,9,16,NE,9.391304348,10,8.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,32B,BLUTI,8,8,15,NE,9.391304348,8,5.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,37B,GRETI,9,8,17,NE,7.625,9,8.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,38B,BLUTI,9,8,10,NE,9.391304348,9,1.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,1C,BLUTI,9,9,17,NE,9.391304348,9,8.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,2C,BLUTI,9,9,10,NE,9.391304348,9,1.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,16C,BLUTI,8,7,20,NE,9.391304348,8,10.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,18C,GRETI,8,5,28,NE,7.625,8,18.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
