site,trap,year,hab,frass peak day,cater peak day,cater model max,cater actual max,,,,,
FAITHWAITE,4,2020,OK,38.51744186,,,1186,,,,,
FAITHWAITE,1,2020,BI,,,,,,,,,
FAITHWAITE,2,2020,BI,,,,,,,,,
FAITHWAITE,1,2020,ALD,,,,,,,,,
FAITHWAITE,1,2021,OK,60.73281796,59.84605516,1488.68696,1731,,,,,
FAITHWAITE,2,2021,OK,63.67743702,61.34672619,2550.039712,1973,,,,,
FAITHWAITE,3,2021,OK,59.60637301,59.16370107,1236.847613,1597,,,,,
FAITHWAITE,4,2021,OK,63.22001889,61.10701107,2103.150804,1664,,,,,
FAITHWAITE,1,2021,BI,62.27527686,60.55257099,960.7849202,791,,,,,
FAITHWAITE,2,2021,BI,,,,993,,,,,
FAITHWAITE,1,2021,ALD,59.1116917,,,,,,,,
FAITHWAITE,2,2021,ALD,59.31226525,,,,,,,,
MIDDLEWOOD,1,2014,OK,49.00875386,53.05589681,703.4059637,728,,,,,
MIDDLEWOOD,2,2014,OK,45.67613,49.20235097,500.0316781,1455,,,,,
MIDDLEWOOD,3,2014,OK,48.30292745,49.24426451,285.6641833,728,,,,,
MIDDLEWOOD,1,2015,OK,69.43796394,68.75,1082.435366,2701,,,,,
MIDDLEWOOD,2,2015,OK,60.81193041,63.403452,665.2404789,1993,,,,,
MIDDLEWOOD,3,2015,OK,63.25503356,63.68467671,819.4267088,2679,,,,,
MIDDLEWOOD,1,2016,OK,56.89655172,57.05685619,187.238764,3066,,,,,
MIDDLEWOOD,2,2016,OK,54.78114478,53.90563821,1443.332867,3313,,,,,
MIDDLEWOOD,3,2016,OK,61.73249902,60.97733711,344.8212628,2101,,,,,
MIDDLEWOOD,1,2017,OK,47.4564212,43.40075669,1131.991866,2355,,,,,
MIDDLEWOOD,2,2017,OK,46.44120248,44.25418569,1805.614747,3372,,,,,
MIDDLEWOOD,3,2017,OK,46.35817678,46.52046784,499.3138197,4917,,,,,
MIDDLEWOOD,1,2018,OK,53.1026253,56.41685736,1041.203647,2883,,,,,
MIDDLEWOOD,2,2018,OK,56.52278177,54.39698492,1779.267935,2533,,,,,
MIDDLEWOOD,3,2018,OK,56.70126354,54.95959333,1698.564582,2026,,,,,
MIDDLEWOOD,1,2019,OK,50,50.56620209,1120.770615,3882,,,,,
MIDDLEWOOD,2,2019,OK,48.60947904,48.02306425,1566.307335,5490,,,,,
MIDDLEWOOD,3,2019,OK,50.92661231,51.65165165,14847.30392,4902,,,,,
MIDDLEWOOD,4,2019,OK,48.76832845,49.94345491,340.5466162,3068,,,,,
MIDDLEWOOD,1,2020,OK,,,,1562,,,,,
MIDDLEWOOD,2,2020,OK,,,,1302,,,,,
MIDDLEWOOD,3,2020,OK,,,,2806,,,,,
MIDDLEWOOD,4,2020,OK,,,,1736,,,,,
MIDDLEWOOD,1,2021,OK,,,,2093,,,,,
MIDDLEWOOD,2,2021,OK,,60.58762428,2312.841379,3851,,,,,
MIDDLEWOOD,3,2021,OK,,57.03948069,1620.146391,3650,,,,,
MIDDLEWOOD,4,2021,OK,,62.00172377,1280.8649,1717,,,,,
TROUGHBARROW,1,2013,AH,68.88888889,,,,,,,,
TROUGHBARROW,2,2013,SYC,67.7294686,,,,,,,,
TROUGHBARROW,1,2014,OK,50.94882116,51.05191464,128.068446,209,,,,,
TROUGHBARROW,2,2014,OK,46.74374705,46.91383596,268.6912207,239,,,,,
TROUGHBARROW,1,2014,AH,45.36494406,48.2725218,437.0349804,509,,,,,
TROUGHBARROW,1,2014,SYC,,,, ,,,,,
TROUGHBARROW,1,2015,OK,66.57212318,63.42050929,330.6498107,818,,,,,
TROUGHBARROW,2,2015,OK,70.00567537,67.82464847,92.77050001,384,,,,,
TROUGHBARROW,1,2015,AH,58.74097835,66.54028436,61.15659618,109,,,,,
TROUGHBARROW,1,2015,SYC,,,,,,,,,
TROUGHBARROW,1,2016,OK,57.89746245,58.48348348,496.1396092,215,,,,,
TROUGHBARROW,2,2016,OK,56.46862854,52.44828241,317.1549764,269,,,,,
TROUGHBARROW,1,2016,AH,65.11727079,62.66012537,58.02038965,186,,,,,
TROUGHBARROW,1,2016,SYC,59.03321033,,,,,,,,
TROUGHBARROW,1,2017,OK,43.54723282,42.87461774,107.3449742,189,,,,,
TROUGHBARROW,2,2017,OK,43.66910523,42.71907216,1120.256711,321,,,,,
TROUGHBARROW,1,2017,AH,,,,,,,,,
TROUGHBARROW,1,2017,SYC,39.43404635,,,,,,,,
TROUGHBARROW,1,2018,OK,59.06803355,58.86397423,413.3108278,215,,,,,
TROUGHBARROW,2,2018,OK,58.42105263,58.23475887,132.339358,254,,,,,
TROUGHBARROW,3,2018,OK,59.90956072,60.4983153,557.0754072,1430,,,,,
TROUGHBARROW,1,2018,AH,58.58698342,58.50952167,154.1544953,148,,,,,
TROUGHBARROW,2,2018,AH,58.71158152,58.6188719,263.6047209,339,,,,,
TROUGHBARROW,1,2018,SYC,60.18722467,58.62168397,175.007077,127,,,,,
TROUGHBARROW,2,2018,SYC,58.68087035,58.55626327,170.6935876,134,,,,,
TROUGHBARROW,1,2019,OK,42.37160121,41.84620484,580.8447215,645,,,,,
TROUGHBARROW,2,2019,OK,47.5611413,46.16141732,655.449242,719,,,,,
TROUGHBARROW,3,2019,OK,40.95982143,39.77060798,1933.696916,1436,,,,,
TROUGHBARROW,1,2019,AH,51.89423077,44.51858913,761.7867302,392,,,,,
TROUGHBARROW,2,2019,AH,47.03187251,46.66370896,259.1251694,497,,,,,
TROUGHBARROW,1,2019,SYC,46.24861573,45.82964742,233.0562315,276,,,,,
TROUGHBARROW,2,2019,SYC,45.27216611,43.99559887,195.7907885,184,,,,,
TROUGHBARROW,1,2020,OK,41.19164907,41.35280553,1412.297511,588,,,,,
TROUGHBARROW,2,2020,OK,36.27034678,39.93416055,517.0912573,672,,,,,
TROUGHBARROW,3,2020,OK,,37.60757315,1020.226684,1205,,,,,
TROUGHBARROW,1,2020,AH,,,,199,,,,,
TROUGHBARROW,2,2020,AH,45.05148741,45.11343805,209.4299215,196,,,,,
TROUGHBARROW,1,2020,SYC,,41.09554777,327.4700329,224,,,,,
TROUGHBARROW,2,2020,SYC,,39.85004951,620.3262686,448,,,,,
TROUGHBARROW,1,2021,OK,,,,,,,,,
TROUGHBARROW,2,2021,OK,,,,,,,,,
TROUGHBARROW,3,2021,OK,,,,,,,,,
TROUGHBARROW,1,2021,AH,,,,,,,,,
TROUGHBARROW,2,2021,AH,,,,,,,,,
TROUGHBARROW,1,2021,SYC,63.01958911,,,,,,,,
TROUGHBARROW,2,2021,SYC,68.81017882,,,,,,,,
YARNER,112,2016,OK,52.98651252,53.73540856,214.6243102,257,,,,,
YARNER,227,2016,OK,59.44919278,57.24381625,253.9734368,309,,,,,
YARNER,242,2016,OK,57.43349933,57.18584716,111.7686902,360,,,,,
YARNER,334,2016,OK,56.90806045,55.66525623,334.8309454,309,,,,,
YARNER,112,2017,OK,50.73394495,50.63195147,171.9439591,209,,,,,
YARNER,227,2017,OK,53.85208012,53.87764933,330.6124266,365,,,,,
YARNER,242,2017,OK,52.42669363,52.38095238,389.4231987,313,,,,,
YARNER,334,2017,OK,51.95570217,52.24301842,496.9553329,417,,,,,
YARNER,112,2018,OK,52.15379706,49.49728418,255.259244,410,,,,,
YARNER,227,2018,OK,50.90909091,53.68039664,337.4349689,590,,,,,
YARNER,242,2018,OK,47.33814053,55.67246112,161.6313115,144,,,,,
YARNER,334,2018,OK,52.99717913,52.37620472,279.0878723,531,,,,,
YARNER,112,2019,OK,47.97475785,47.02855246,446.8998389,322,,,,,
YARNER,227,2019,OK,48.03685897,47.10860367,559.4456616,645,,,,,
YARNER,242,2019,OK,52.28,49.22115385,248.5775705,451,,,,,
YARNER,334,2019,OK,47.28544009,46.64006385,609.6721227,516,,,,,
YARNER,112,2021,OK,66.01417754,65.84758238,464.912425,397,,,,,
YARNER,227,2021,OK,65.92552176,65.72978304,700.9740777,634,,,,,
YARNER,242,2021,OK,65.61721561,64.75620188,444.0881579,307,,,,,
YARNER,334,2021,OK,65.54193856,65.49326859,360.8947247,372,,,,,
NEADON,3,2015,OK,57.59158752,57.88368934,10503.97671,16778,,,,,
NEADON,10,2015,OK,54.01962336,53.27534493,8963.435943,12568,,,,,
NEADON,3,2016,OK,61.60238653,60.82713755,1832.944379,3035,,,,,
NEADON,10,2016,OK,58.91419596,58.75107419,844.1147593,1335,,,,,
NEADON,3,2017,OK,57.70013569,56.91489362,295.1934343,1147,,,,,
NEADON,10,2017,OK,50.38167939,52.99073294,242.4119784,934,,,,,
NEADON,3,2018,OK,61.00763359,59.36135998,923.936609,1440,,,,,
NEADON,10,2018,OK,57.17795343,56.58847879,898.1739395,1707,,,,,
NEADON,3,2019,OK,52.7197883,52.2053756,1585.166445,2146,,,,,
